,Strike,Expiry,Type,Last_y,Bid_y,Ask_y,Vol_y,Underlying_Price_y,TtM_y,Implied_vol_bis,BS_Price,Avr_Price
26,940.0,2019-03-15,call,718.35,686.05,695.95,10.0,1629.09,0.08493150684931507,0.9938092278415711,694.8723504768922,691.0
27,940.0,2019-04-18,put,4.95,0.28,0.86,1.0,1629.09,0.1780821917808219,0.5136625445604324,0.44739479323687625,0.5700000000000001
28,950.0,2019-02-22,call,728.02,676.0,682.45,8.0,1629.09,0.0273972602739726,1.6535879159006472,682.799134306808,679.225
29,950.0,2019-03-15,call,711.67,676.85,687.4,1.0,1629.09,0.08493150684931507,1.0055638504959643,685.5980230869435,682.125
30,950.0,2019-04-18,put,0.75,0.32,0.88,3.0,1629.09,0.1780821917808219,0.507446936379224,0.47036387834605264,0.6
31,960.0,2019-03-15,call,703.26,667.7,676.3,30.0,1629.09,0.08493150684931507,0.9621798671106994,674.955892601038,672.0
32,960.0,2019-03-15,put,0.24,0.02,0.44,3.0,1629.09,0.08493150684931507,0.6359486299937963,0.14115591746667455,0.23
33,960.0,2019-04-18,put,0.9,0.36,0.91,2.0,1629.09,0.1780821917808219,0.5011153377249837,0.4931448930442315,0.635
34,970.0,2019-03-15,call,542.58,656.95,666.85,1.0,1629.09,0.08493150684931507,0.9646661521063746,665.454080575133,661.9000000000001
35,970.0,2019-03-15,put,1.54,0.02,0.46,4.0,1629.09,0.08493150684931507,0.6252032391935587,0.1431933615831471,0.24000000000000002
36,970.0,2019-04-18,put,1.04,0.39,0.93,2.0,1629.09,0.1780821917808219,0.495079973732084,0.5193797534364721,0.66
37,980.0,2019-04-18,put,1.08,0.42,0.96,51.0,1629.09,0.1780821917808219,0.4889152678447962,0.5453998185984341,0.69
38,985.0,2019-03-15,put,0.3,0.03,0.48,4.0,1629.09,0.08493150684931507,0.6109689551001789,0.15076151170269325,0.255
39,990.0,2019-03-15,put,0.45,0.05,0.49,1.0,1629.09,0.08493150684931507,0.6073498854488134,0.15632415623339524,0.27
40,990.0,2019-04-18,put,1.18,0.45,0.99,3.0,1629.09,0.1780821917808219,0.48263561456426984,0.5711915239442362,0.72
41,995.0,2019-03-15,put,0.78,0.03,0.5,1.0,1629.09,0.08493150684931507,0.6014364574837685,0.15570761207417405,0.265
42,1000.0,2019-02-22,call,650.0,626.5,632.45,2.0,1629.09,0.0273972602739726,1.5113897501341997,632.7964517774086,629.475
43,1000.0,2019-04-18,call,628.94,630.35,640.2,1.0,1629.09,0.1780821917808219,0.6632889769989625,638.954757999939,635.2750000000001
44,1000.0,2019-04-18,put,0.62,0.6,0.9,100.0,1629.09,0.1780821917808219,0.476253739463985,0.5967440357496514,0.75
45,1010.0,2019-04-18,call,646.85,621.4,630.55,1.0,1629.09,0.1780821917808219,0.6748792102779075,630.1167729239231,625.9749999999999
46,1010.0,2019-04-18,put,2.99,0.45,1.05,1.0,1629.09,0.1780821917808219,0.47108048092037436,0.636609127787489,0.75
47,1020.0,2019-04-18,call,627.52,610.5,620.35,1.0,1629.09,0.1780821917808219,0.659018321477622,619.9510951698876,615.425
48,1020.0,2019-04-18,put,0.83,0.49,1.08,1.0,1629.09,0.1780821917808219,0.4647763152647018,0.6652614786349744,0.785
49,1030.0,2019-03-15,call,562.6,595.6,605.5,14.0,1629.09,0.08493150684931507,0.8633101407305152,605.4658905933211,600.55
50,1040.0,2019-04-18,call,570.22,590.2,599.95,1.0,1629.09,0.1780821917808219,0.6106661490361394,598.7974523624796,595.075
51,1040.0,2019-04-18,put,1.0,0.56,1.15,5.0,1629.09,0.1780821917808219,0.45327969839721916,0.7398515836220128,0.855
52,1060.0,2019-04-18,call,660.0,570.85,580.7,1.0,1629.09,0.1780821917808219,0.5906388083858789,578.9797164093006,575.7750000000001
53,1060.0,2019-04-18,put,1.05,0.85,1.23,1.0,1629.09,0.1780821917808219,0.44121929690137507,0.8130554821254332,1.04
54,1070.0,2019-03-15,call,558.59,557.0,565.7,2.0,1629.09,0.08493150684931507,0.8074899863538145,565.7326100433354,561.35
55,1070.0,2019-03-15,put,1.15,0.13,0.5,10.0,1629.09,0.08493150684931507,0.5372693178299068,0.21998409954097387,0.315
56,1080.0,2019-04-18,put,1.13,0.99,1.32,1.0,1629.09,0.1780821917808219,0.43095372280612587,0.9210200127056964,1.155
57,1090.0,2019-03-01,call,572.56,536.5,545.3,5.0,1629.09,0.04657534246575343,0.9551705795146526,542.925698475492,540.9
58,1090.0,2019-03-15,call,436.9,536.8,546.2,4.0,1629.09,0.08493150684931507,0.80225998426944,546.6041691054854,541.5
59,1100.0,2019-03-01,call,495.0,526.75,535.35,10.0,1629.09,0.04657534246575343,1.0147685081332924,534.5004033588632,531.05
60,1100.0,2019-03-08,put,0.3,0.3,4.7,10.0,1629.09,0.06575342465753424,0.7299643324011564,1.5852549125625508,2.5
61,1100.0,2019-03-15,call,489.0,526.85,536.25,2.0,1629.09,0.08493150684931507,0.7691593594899028,536.0246848831196,531.55
62,1100.0,2019-04-18,call,488.99,530.8,540.1,1.0,1629.09,0.1780821917808219,0.5615862198227646,539.8987291226945,535.45
63,1100.0,2019-04-18,put,1.12,1.12,1.43,15.0,1629.09,0.1780821917808219,0.42627133761331437,1.1477763723904317,1.275
64,1110.0,2019-03-01,call,557.57,515.75,524.05,2.0,1629.09,0.04657534246575343,0.9557577291303875,523.6668477324827,519.9
65,1120.0,2019-04-18,call,587.6,511.5,519.75,1.0,1629.09,0.1780821917808219,0.5352322612242775,519.7141474305993,515.625
66,1120.0,2019-04-18,put,2.1,1.18,1.55,4.0,1629.09,0.1780821917808219,0.41516467612661423,1.277237288211591,1.365
67,1130.0,2019-02-22,call,527.91,496.6,502.55,9.0,1629.09,0.0273972602739726,1.2067545413689318,503.3619641143787,499.57500000000005
68,1140.0,2019-04-18,call,462.29,491.8,500.0,2.0,1629.09,0.1780821917808219,0.5155914859454707,499.88115138370244,495.9
69,1140.0,2019-04-18,put,2.16,1.4,1.67,3.0,1629.09,0.1780821917808219,0.40641433189332477,1.4776125744925928,1.535
70,1150.0,2019-03-08,put,0.67,0.08,0.67,5.0,1629.09,0.06575342465753424,0.5157916790348291,0.2287954295585486,0.375
71,1160.0,2019-04-18,call,479.13,473.05,482.05,1.0,1629.09,0.1780821917808219,0.4984757460766657,480.1882224798585,477.55
72,1160.0,2019-04-18,put,3.4,1.47,1.87,4.0,1629.09,0.1780821917808219,0.3965249445255846,1.6749594363456595,1.67
73,1170.0,2019-03-15,call,502.23,457.45,467.25,3.0,1629.09,0.08493150684931507,0.6159158131746204,464.53241658901857,462.35
74,1180.0,2019-03-08,put,0.67,0.15,0.75,5.0,1629.09,0.06575342465753424,0.4922700210765005,0.28338202271236224,0.45
75,1180.0,2019-04-18,call,502.3,452.4,460.75,1.0,1629.09,0.1780821917808219,0.48764113283859567,460.90293704500436,456.575
76,1180.0,2019-04-18,put,2.05,1.67,2.0,2.0,1629.09,0.1780821917808219,0.38761388777311895,1.9278844739043741,1.835
77,1190.0,2019-03-01,put,0.1,0.1,0.55,14.0,1629.09,0.04657534246575343,0.5251681319141387,0.12777618115677747,0.325
78,1200.0,2019-02-22,call,392.0,426.7,432.65,2.0,1629.09,0.0273972602739726,0.9957166557058692,432.70338790180244,429.67499999999995
79,1200.0,2019-03-08,put,0.96,0.2,0.8,5.0,1629.09,0.06575342465753424,0.4763966413956881,0.3255818316364909,0.5
80,1200.0,2019-03-15,call,438.6,427.25,437.1,1.0,1629.09,0.08493150684931507,0.6105689861533791,435.7496939212772,432.175
81,1200.0,2019-03-22,put,0.98,0.75,1.15,2.0,1629.09,0.10410958904109589,0.4253419535173476,0.8201702830180082,0.95
82,1200.0,2019-04-18,call,412.0,432.8,440.95,1.0,1629.09,0.1780821917808219,0.4666332319900021,440.9691145052891,436.875
83,1200.0,2019-04-18,put,2.2,1.93,2.35,20.0,1629.09,0.1780821917808219,0.3790358342447132,2.2286749004107236,2.14
84,1210.0,2019-03-15,call,389.6,418.7,428.55,2.0,1629.09,0.08493150684931507,0.6102193979606034,426.2846001465125,423.625
85,1220.0,2019-03-01,put,0.95,0.02,0.62,1.0,1629.09,0.04657534246575343,0.5019087042158842,0.17251281647277494,0.32
86,1220.0,2019-03-08,put,1.06,0.25,0.85,1.0,1629.09,0.06575342465753424,0.45976588147684927,0.36891430385794344,0.55
87,1220.0,2019-04-18,call,500.0,414.25,423.15,1.0,1629.09,0.1780821917808219,0.4580895088252983,421.91614643058597,418.7
88,1220.0,2019-04-18,put,2.56,2.35,2.63,2.0,1629.09,0.1780821917808219,0.3715445655531064,2.618094695822485,2.49
89,1230.0,2019-03-08,put,1.22,0.28,0.87,1.0,1629.09,0.06575342465753424,0.4504786119198799,0.3856728334288544,0.575
90,1230.0,2019-03-15,call,368.3,400.7,408.05,1.0,1629.09,0.08493150684931507,0.5842122373164444,406.4036823356123,404.375
91,1240.0,2019-03-08,put,1.61,0.31,0.9,1.0,1629.09,0.06575342465753424,0.44029502389639613,0.3963699398286842,0.605
92,1240.0,2019-04-18,call,396.72,394.0,403.6,2.0,1629.09,0.1780821917808219,0.4469609035474434,402.751610225017,398.8
93,1240.0,2019-04-18,put,3.0,2.83,3.05,1.0,1629.09,0.1780821917808219,0.3629847659210862,3.020805500591088,2.94
94,1250.0,2019-02-22,put,0.4,0.03,0.19,11.0,1629.09,0.0273972602739726,0.5442485647279024,0.05896872585080448,0.11
95,1250.0,2019-03-01,put,0.6,0.09,0.69,2.0,1629.09,0.04657534246575343,0.47492276964753866,0.21703091591610502,0.38999999999999996
96,1250.0,2019-03-08,put,1.04,0.34,0.93,5.0,1629.09,0.06575342465753424,0.42967834914267056,0.4038118007211864,0.635
