Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
1560.0,2019-03-08,put,AMZN190308P01560000,33.25,18.05,18.9,0.0,0.0,3.0,45.0,0.2722851092529296,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-11 19:26:21,"{'contractSymbol': 'AMZN190308P01560000', 'strike': 1560.0, 'currency': 'USD', 'lastPrice': 33.25, 'change': 0.0, 'percentChange': 0.0, 'volume': 3, 'openInterest': 45, 'bid': 18.05, 'ask': 18.9, 'contractSize': 'REGULAR', 'expiration': 1552003200, 'lastTradeDate': 1549913181, 'impliedVolatility': 0.2722851092529296, 'inTheMoney': False}"
1560.0,2019-03-22,call,AMZN190322C01560000,128.72,75.0,82.9,0.0,0.0,5.0,5.0,0.1875386422729492,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-09 04:48:07,"{'contractSymbol': 'AMZN190322C01560000', 'strike': 1560.0, 'currency': 'USD', 'lastPrice': 128.72, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 5, 'bid': 75.0, 'ask': 82.9, 'contractSize': 'REGULAR', 'expiration': 1553212800, 'lastTradeDate': 1549687687, 'impliedVolatility': 0.1875386422729492, 'inTheMoney': True}"
1560.0,2019-03-22,put,AMZN190322P01560000,29.81,27.85,28.2,-13.640001,-31.392406,7.0,48.0,0.269988684463501,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 15:50:31,"{'contractSymbol': 'AMZN190322P01560000', 'strike': 1560.0, 'currency': 'USD', 'lastPrice': 29.81, 'change': -13.640001, 'percentChange': -31.392406, 'volume': 7, 'openInterest': 48, 'bid': 27.85, 'ask': 28.2, 'contractSize': 'REGULAR', 'expiration': 1553212800, 'lastTradeDate': 1549986631, 'impliedVolatility': 0.269988684463501, 'inTheMoney': False}"
1560.0,2019-03-29,call,AMZN190329C01560000,103.26,105.65,107.6,22.420006,27.733803,1.0,22.0,0.29904875762939453,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 15:52:41,"{'contractSymbol': 'AMZN190329C01560000', 'strike': 1560.0, 'currency': 'USD', 'lastPrice': 103.26, 'change': 22.420006, 'percentChange': 27.733803, 'volume': 1, 'openInterest': 22, 'bid': 105.65, 'ask': 107.6, 'contractSize': 'REGULAR', 'expiration': 1553817600, 'lastTradeDate': 1549986761, 'impliedVolatility': 0.29904875762939453, 'inTheMoney': True}"
1560.0,2019-03-29,put,AMZN190329P01560000,52.9,0.0,0.0,0.0,0.0,4.0,0.0,0.0312596875,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-08 15:41:24,"{'contractSymbol': 'AMZN190329P01560000', 'strike': 1560.0, 'currency': 'USD', 'lastPrice': 52.9, 'change': 0.0, 'percentChange': 0.0, 'volume': 4, 'openInterest': 0, 'bid': 0.0, 'ask': 0.0, 'contractSize': 'REGULAR', 'expiration': 1553817600, 'lastTradeDate': 1549640484, 'impliedVolatility': 0.0312596875, 'inTheMoney': False}"
1560.0,2019-04-18,call,AMZN190418C01560000,119.55,119.75,120.95,20.850006,21.124626,3.0,248.0,0.30260401992797853,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 16:23:30,"{'contractSymbol': 'AMZN190418C01560000', 'strike': 1560.0, 'currency': 'USD', 'lastPrice': 119.55, 'change': 20.850006, 'percentChange': 21.124626, 'volume': 3, 'openInterest': 248, 'bid': 119.75, 'ask': 120.95, 'contractSize': 'REGULAR', 'expiration': 1555545600, 'lastTradeDate': 1549988610, 'impliedVolatility': 0.30260401992797853, 'inTheMoney': True}"
1560.0,2019-04-18,put,AMZN190418P01560000,45.06,43.05,43.3,-16.059998,-26.276175,2.0,197.0,0.26891295059204096,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 15:52:08,"{'contractSymbol': 'AMZN190418P01560000', 'strike': 1560.0, 'currency': 'USD', 'lastPrice': 45.06, 'change': -16.059998, 'percentChange': -26.276175, 'volume': 2, 'openInterest': 197, 'bid': 43.05, 'ask': 43.3, 'contractSize': 'REGULAR', 'expiration': 1555545600, 'lastTradeDate': 1549986728, 'impliedVolatility': 0.26891295059204096, 'inTheMoney': False}"
1562.5,2019-02-15,call,AMZN190215C01562500,64.5,68.35,69.65,22.830002,54.787624,38.0,84.0,0.3305731005859375,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 15:18:12,"{'contractSymbol': 'AMZN190215C01562500', 'strike': 1562.5, 'currency': 'USD', 'lastPrice': 64.5, 'change': 22.830002, 'percentChange': 54.787624, 'volume': 38, 'openInterest': 84, 'bid': 68.35, 'ask': 69.65, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1549984692, 'impliedVolatility': 0.3305731005859375, 'inTheMoney': True}"
1562.5,2019-02-15,put,AMZN190215P01562500,1.6,1.67,1.78,-7.2999997,-82.02247,91.0,205.0,0.2862009857177734,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 16:20:02,"{'contractSymbol': 'AMZN190215P01562500', 'strike': 1562.5, 'currency': 'USD', 'lastPrice': 1.6, 'change': -7.2999997, 'percentChange': -82.02247, 'volume': 91, 'openInterest': 205, 'bid': 1.67, 'ask': 1.78, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1549988402, 'impliedVolatility': 0.2862009857177734, 'inTheMoney': False}"
1562.5,2019-02-22,call,AMZN190222C01562500,46.95,74.4,75.6,0.0,0.0,1.0,10.0,0.28790995300292954,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-11 19:08:09,"{'contractSymbol': 'AMZN190222C01562500', 'strike': 1562.5, 'currency': 'USD', 'lastPrice': 46.95, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 10, 'bid': 74.4, 'ask': 75.6, 'contractSize': 'REGULAR', 'expiration': 1550793600, 'lastTradeDate': 1549912089, 'impliedVolatility': 0.28790995300292954, 'inTheMoney': True}"
1562.5,2019-02-22,put,AMZN190222P01562500,8.15,6.85,7.1,-10.75,-56.87831,6.0,17.0,0.2626416510009766,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 15:42:52,"{'contractSymbol': 'AMZN190222P01562500', 'strike': 1562.5, 'currency': 'USD', 'lastPrice': 8.15, 'change': -10.75, 'percentChange': -56.87831, 'volume': 6, 'openInterest': 17, 'bid': 6.85, 'ask': 7.1, 'contractSize': 'REGULAR', 'expiration': 1550793600, 'lastTradeDate': 1549986172, 'impliedVolatility': 0.2626416510009766, 'inTheMoney': False}"
1565.0,2019-02-22,call,AMZN190222C01565000,68.65,71.1,72.35,22.7,49.401524,6.0,20.0,0.2715526947021484,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 15:20:28,"{'contractSymbol': 'AMZN190222C01565000', 'strike': 1565.0, 'currency': 'USD', 'lastPrice': 68.65, 'change': 22.7, 'percentChange': 49.401524, 'volume': 6, 'openInterest': 20, 'bid': 71.1, 'ask': 72.35, 'contractSize': 'REGULAR', 'expiration': 1550793600, 'lastTradeDate': 1549984828, 'impliedVolatility': 0.2715526947021484, 'inTheMoney': True}"
1565.0,2019-02-22,put,AMZN190222P01565000,7.23,7.45,7.65,-11.82,-62.04724,28.0,67.0,0.2636182037353516,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 16:22:14,"{'contractSymbol': 'AMZN190222P01565000', 'strike': 1565.0, 'currency': 'USD', 'lastPrice': 7.23, 'change': -11.82, 'percentChange': -62.04724, 'volume': 28, 'openInterest': 67, 'bid': 7.45, 'ask': 7.65, 'contractSize': 'REGULAR', 'expiration': 1550793600, 'lastTradeDate': 1549988534, 'impliedVolatility': 0.2636182037353516, 'inTheMoney': False}"
1565.0,2019-03-01,call,AMZN190301C01565000,75.55,79.5,80.8,18.960003,33.504158,9.0,13.0,0.2900919380187988,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 15:19:58,"{'contractSymbol': 'AMZN190301C01565000', 'strike': 1565.0, 'currency': 'USD', 'lastPrice': 75.55, 'change': 18.960003, 'percentChange': 33.504158, 'volume': 9, 'openInterest': 13, 'bid': 79.5, 'ask': 80.8, 'contractSize': 'REGULAR', 'expiration': 1551398400, 'lastTradeDate': 1549984798, 'impliedVolatility': 0.2900919380187988, 'inTheMoney': True}"
1565.0,2019-03-01,put,AMZN190301P01565000,16.04,13.75,14.6,-11.359999,-41.45985,4.0,44.0,0.2717968328857422,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 15:15:08,"{'contractSymbol': 'AMZN190301P01565000', 'strike': 1565.0, 'currency': 'USD', 'lastPrice': 16.04, 'change': -11.359999, 'percentChange': -41.45985, 'volume': 4, 'openInterest': 44, 'bid': 13.75, 'ask': 14.6, 'contractSize': 'REGULAR', 'expiration': 1551398400, 'lastTradeDate': 1549984508, 'impliedVolatility': 0.2717968328857422, 'inTheMoney': False}"
1565.0,2019-03-08,call,AMZN190308C01565000,66.8,86.7,88.25,0.0,0.0,1.0,1.0,0.2986062571716308,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-11 17:55:48,"{'contractSymbol': 'AMZN190308C01565000', 'strike': 1565.0, 'currency': 'USD', 'lastPrice': 66.8, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1, 'bid': 86.7, 'ask': 88.25, 'contractSize': 'REGULAR', 'expiration': 1552003200, 'lastTradeDate': 1549907748, 'impliedVolatility': 0.2986062571716308, 'inTheMoney': True}"
1565.0,2019-03-08,put,AMZN190308P01565000,20.3,19.7,20.15,-14.880001,-42.29676,44.0,12.0,0.2708355387878418,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 15:41:41,"{'contractSymbol': 'AMZN190308P01565000', 'strike': 1565.0, 'currency': 'USD', 'lastPrice': 20.3, 'change': -14.880001, 'percentChange': -42.29676, 'volume': 44, 'openInterest': 12, 'bid': 19.7, 'ask': 20.15, 'contractSize': 'REGULAR', 'expiration': 1552003200, 'lastTradeDate': 1549986101, 'impliedVolatility': 0.2708355387878418, 'inTheMoney': False}"
1565.0,2019-03-15,put,AMZN190315P01565000,24.59,24.85,25.25,-14.709999,-37.430023,34.0,136.0,0.27057614196777346,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 16:24:21,"{'contractSymbol': 'AMZN190315P01565000', 'strike': 1565.0, 'currency': 'USD', 'lastPrice': 24.59, 'change': -14.709999, 'percentChange': -37.430023, 'volume': 34, 'openInterest': 136, 'bid': 24.85, 'ask': 25.25, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1549988661, 'impliedVolatility': 0.27057614196777346, 'inTheMoney': False}"
1565.0,2019-03-22,call,AMZN190322C01565000,92.1,75.5,79.8,0.0,0.0,5.0,5.0,0.19117019775390626,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-09 04:48:07,"{'contractSymbol': 'AMZN190322C01565000', 'strike': 1565.0, 'currency': 'USD', 'lastPrice': 92.1, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 5, 'bid': 75.5, 'ask': 79.8, 'contractSize': 'REGULAR', 'expiration': 1553212800, 'lastTradeDate': 1549687687, 'impliedVolatility': 0.19117019775390626, 'inTheMoney': True}"
1565.0,2019-03-22,put,AMZN190322P01565000,31.34,29.0,29.9,-29.279999,-48.300888,4.0,14.0,0.2701489001464844,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 15:50:31,"{'contractSymbol': 'AMZN190322P01565000', 'strike': 1565.0, 'currency': 'USD', 'lastPrice': 31.34, 'change': -29.279999, 'percentChange': -48.300888, 'volume': 4, 'openInterest': 14, 'bid': 29.0, 'ask': 29.9, 'contractSize': 'REGULAR', 'expiration': 1553212800, 'lastTradeDate': 1549986631, 'impliedVolatility': 0.2701489001464844, 'inTheMoney': False}"
1565.0,2019-03-29,call,AMZN190329C01565000,90.1,102.5,104.15,0.0,0.0,1.0,0.0,0.2976907389831542,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-11 14:31:28,"{'contractSymbol': 'AMZN190329C01565000', 'strike': 1565.0, 'currency': 'USD', 'lastPrice': 90.1, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 0, 'bid': 102.5, 'ask': 104.15, 'contractSize': 'REGULAR', 'expiration': 1553817600, 'lastTradeDate': 1549895488, 'impliedVolatility': 0.2976907389831542, 'inTheMoney': True}"
1565.0,2019-03-29,put,AMZN190329P01565000,33.05,33.3,34.2,-21.95,-39.909092,1.0,2.0,0.2696911410522461,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 16:10:11,"{'contractSymbol': 'AMZN190329P01565000', 'strike': 1565.0, 'currency': 'USD', 'lastPrice': 33.05, 'change': -21.95, 'percentChange': -39.909092, 'volume': 1, 'openInterest': 2, 'bid': 33.3, 'ask': 34.2, 'contractSize': 'REGULAR', 'expiration': 1553817600, 'lastTradeDate': 1549987811, 'impliedVolatility': 0.2696911410522461, 'inTheMoney': False}"
1565.0,2019-04-18,call,AMZN190418C01565000,115.0,116.5,117.7,10.0,9.523809,1.0,105.0,0.30168850173950196,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 15:27:59,"{'contractSymbol': 'AMZN190418C01565000', 'strike': 1565.0, 'currency': 'USD', 'lastPrice': 115.0, 'change': 10.0, 'percentChange': 9.523809, 'volume': 1, 'openInterest': 105, 'bid': 116.5, 'ask': 117.7, 'contractSize': 'REGULAR', 'expiration': 1555545600, 'lastTradeDate': 1549985279, 'impliedVolatility': 0.30168850173950196, 'inTheMoney': True}"
1565.0,2019-04-18,put,AMZN190418P01565000,46.79,44.6,45.3,-16.419998,-25.9769,6.0,150.0,0.2693249337768554,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 15:52:08,"{'contractSymbol': 'AMZN190418P01565000', 'strike': 1565.0, 'currency': 'USD', 'lastPrice': 46.79, 'change': -16.419998, 'percentChange': -25.9769, 'volume': 6, 'openInterest': 150, 'bid': 44.6, 'ask': 45.3, 'contractSize': 'REGULAR', 'expiration': 1555545600, 'lastTradeDate': 1549986728, 'impliedVolatility': 0.2693249337768554, 'inTheMoney': False}"
1567.5,2019-02-15,call,AMZN190215C01567500,52.0,63.25,64.7,14.349998,38.114204,4.0,27.0,0.31372756591796874,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 14:58:33,"{'contractSymbol': 'AMZN190215C01567500', 'strike': 1567.5, 'currency': 'USD', 'lastPrice': 52.0, 'change': 14.349998, 'percentChange': 38.114204, 'volume': 4, 'openInterest': 27, 'bid': 63.25, 'ask': 64.7, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1549983513, 'impliedVolatility': 0.31372756591796874, 'inTheMoney': True}"
1567.5,2019-02-15,put,AMZN190215P01567500,2.1,2.06,2.19,-8.15,-79.51219,48.0,179.0,0.28436994934082027,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 16:23:18,"{'contractSymbol': 'AMZN190215P01567500', 'strike': 1567.5, 'currency': 'USD', 'lastPrice': 2.1, 'change': -8.15, 'percentChange': -79.51219, 'volume': 48, 'openInterest': 179, 'bid': 2.06, 'ask': 2.19, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1549988598, 'impliedVolatility': 0.28436994934082027, 'inTheMoney': False}"
