Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
10.0,2019-02-13,call,VIX190213C00010000,6.4,6.3,6.4,-0.4000001,-5.8823543,19.0,421.0,3.281251796875,VIX,True,^VIX,16.27,2019-02-11 15:15:53,2019-02-11 15:11:07,"{'contractSymbol': 'VIX190213C00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 6.4, 'change': -0.4000001, 'percentChange': -5.8823543, 'volume': 19, 'openInterest': 421, 'bid': 6.3, 'ask': 6.4, 'contractSize': 'REGULAR', 'expiration': 1550016000, 'lastTradeDate': 1549897867, 'impliedVolatility': 3.281251796875, 'inTheMoney': True}"
10.0,2019-02-13,put,VIX190213P00010000,0.02,0.0,0.05,0.0,0.0,5.0,270.0,2.6562533593750004,VIX,True,^VIX,16.27,2019-02-11 15:15:53,2019-02-08 15:08:16,"{'contractSymbol': 'VIX190213P00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 270, 'bid': 0.0, 'ask': 0.05, 'contractSize': 'REGULAR', 'expiration': 1550016000, 'lastTradeDate': 1549638496, 'impliedVolatility': 2.6562533593750004, 'inTheMoney': False}"
10.0,2019-02-20,call,VIXW190220C00010000,8.2,6.4,7.3,0.0,0.0,10.0,55.0,3.0820335449218748,VIXW,True,^VIX,16.27,2019-02-11 15:15:53,2019-02-07 17:33:29,"{'contractSymbol': 'VIXW190220C00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 8.2, 'change': 0.0, 'percentChange': 0.0, 'volume': 10, 'openInterest': 55, 'bid': 6.4, 'ask': 7.3, 'contractSize': 'REGULAR', 'expiration': 1550620800, 'lastTradeDate': 1549560809, 'impliedVolatility': 3.0820335449218748, 'inTheMoney': True}"
10.0,2019-03-19,call,VIX190319C00010000,7.1,6.9,7.0,0.0,0.0,80.0,1698.0,1.701173369140625,VIX,True,^VIX,16.27,2019-02-11 15:15:53,2019-02-11 15:06:27,"{'contractSymbol': 'VIX190319C00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 7.1, 'change': 0.0, 'percentChange': 0.0, 'volume': 80, 'openInterest': 1698, 'bid': 6.9, 'ask': 7.0, 'contractSize': 'REGULAR', 'expiration': 1552953600, 'lastTradeDate': 1549897587, 'impliedVolatility': 1.701173369140625, 'inTheMoney': True}"
10.0,2019-03-19,put,VIX190319P00010000,0.03,0.0,0.05,0.0,0.0,5.0,1356.0,0.7578149218750001,VIX,True,^VIX,16.27,2019-02-11 15:15:53,2019-01-14 16:31:44,"{'contractSymbol': 'VIX190319P00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 0.03, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 1356, 'bid': 0.0, 'ask': 0.05, 'contractSize': 'REGULAR', 'expiration': 1552953600, 'lastTradeDate': 1547483504, 'impliedVolatility': 0.7578149218750001, 'inTheMoney': False}"
10.0,2019-04-17,call,VIX190417C00010000,7.1,7.0,7.2,-0.099999905,-1.3888876,7.0,1160.0,1.3789093554687497,VIX,True,^VIX,16.27,2019-02-11 15:15:53,2019-02-11 14:50:01,"{'contractSymbol': 'VIX190417C00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 7.1, 'change': -0.099999905, 'percentChange': -1.3888876, 'volume': 7, 'openInterest': 1160, 'bid': 7.0, 'ask': 7.2, 'contractSize': 'REGULAR', 'expiration': 1555459200, 'lastTradeDate': 1549896601, 'impliedVolatility': 1.3789093554687497, 'inTheMoney': True}"
10.0,2019-04-17,put,VIX190417P00010000,0.02,0.0,0.05,0.0,0.0,1.0,1047.0,0.570316796875,VIX,True,^VIX,16.27,2019-02-11 15:15:53,2019-02-05 15:51:48,"{'contractSymbol': 'VIX190417P00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1047, 'bid': 0.0, 'ask': 0.05, 'contractSize': 'REGULAR', 'expiration': 1555459200, 'lastTradeDate': 1549381908, 'impliedVolatility': 0.570316796875, 'inTheMoney': False}"
10.5,2019-02-13,call,VIX190213C00010500,6.4,5.8,6.0,0.0,0.0,2.0,47.0,3.3437516406249994,VIX,True,^VIX,16.27,2019-02-11 15:15:53,2019-02-08 19:11:52,"{'contractSymbol': 'VIX190213C00010500', 'strike': 10.5, 'currency': 'USD', 'lastPrice': 6.4, 'change': 0.0, 'percentChange': 0.0, 'volume': 2, 'openInterest': 47, 'bid': 5.8, 'ask': 6.0, 'contractSize': 'REGULAR', 'expiration': 1550016000, 'lastTradeDate': 1549653112, 'impliedVolatility': 3.3437516406249994, 'inTheMoney': True}"
10.5,2019-02-20,call,VIXW190220C00010500,8.8,5.9,6.8,0.0,0.0,1.0,36.0,2.8554716113281247,VIXW,True,^VIX,16.27,2019-02-11 15:15:53,2019-01-22 15:50:35,"{'contractSymbol': 'VIXW190220C00010500', 'strike': 10.5, 'currency': 'USD', 'lastPrice': 8.8, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 36, 'bid': 5.9, 'ask': 6.8, 'contractSize': 'REGULAR', 'expiration': 1550620800, 'lastTradeDate': 1548172235, 'impliedVolatility': 2.8554716113281247, 'inTheMoney': True}"
10.5,2019-03-19,call,VIX190319C00010500,6.1,6.4,6.7,0.0,0.0,5.0,5.0,1.6660172949218752,VIX,True,^VIX,16.27,2019-02-11 15:15:53,2019-02-09 04:48:32,"{'contractSymbol': 'VIX190319C00010500', 'strike': 10.5, 'currency': 'USD', 'lastPrice': 6.1, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 5, 'bid': 6.4, 'ask': 6.7, 'contractSize': 'REGULAR', 'expiration': 1552953600, 'lastTradeDate': 1549687712, 'impliedVolatility': 1.6660172949218752, 'inTheMoney': True}"
