Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
40.0,2019-03-15,put,SPY190315P00040000,0.01,0.0,0.01,0.0,0.0,0.0,148.0,1.9062504687500001,SPY,False,SPY,273.8,2019-02-12 16:46:19,2018-12-26 15:26:16,"{'contractSymbol': 'SPY190315P00040000', 'strike': 40.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 148, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1545837976, 'impliedVolatility': 1.9062504687500001, 'inTheMoney': False}"
50.0,2019-03-15,put,SPY190315P00050000,0.03,0.0,0.01,0.0,0.0,0.0,32.0,1.6875015625,SPY,False,SPY,273.8,2019-02-12 16:46:19,2018-09-22 03:48:24,"{'contractSymbol': 'SPY190315P00050000', 'strike': 50.0, 'currency': 'USD', 'lastPrice': 0.03, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 32, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1537588104, 'impliedVolatility': 1.6875015625, 'inTheMoney': False}"
50.0,2019-04-18,put,SPY190418P00050000,0.01,0.0,0.01,0.0,0.0,1.0,1.0,1.1875040625,SPY,False,SPY,273.8,2019-02-12 16:46:19,2019-02-09 04:47:23,"{'contractSymbol': 'SPY190418P00050000', 'strike': 50.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1555545600, 'lastTradeDate': 1549687643, 'impliedVolatility': 1.1875040625, 'inTheMoney': False}"
55.0,2019-02-15,call,SPY190215C00055000,215.31,218.71,218.87,0.0,0.0,15.0,189.0,5.64062794921875,SPY,False,SPY,273.8,2019-02-12 16:46:19,2019-02-11 16:08:44,"{'contractSymbol': 'SPY190215C00055000', 'strike': 55.0, 'currency': 'USD', 'lastPrice': 215.31, 'change': 0.0, 'percentChange': 0.0, 'volume': 15, 'openInterest': 189, 'bid': 218.71, 'ask': 218.87, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1549901324, 'impliedVolatility': 5.64062794921875, 'inTheMoney': True}"
55.0,2019-03-15,put,SPY190315P00055000,0.01,0.0,0.01,0.0,0.0,0.0,11.0,1.5937520312499998,SPY,False,SPY,273.8,2019-02-12 16:46:19,2018-08-15 18:46:24,"{'contractSymbol': 'SPY190315P00055000', 'strike': 55.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 11, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1534358784, 'impliedVolatility': 1.5937520312499998, 'inTheMoney': False}"
60.0,2019-03-15,put,SPY190315P00060000,0.01,0.0,0.01,0.0,0.0,0.0,275.0,1.5000025,SPY,False,SPY,273.8,2019-02-12 16:46:19,2018-12-31 14:49:39,"{'contractSymbol': 'SPY190315P00060000', 'strike': 60.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 275, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1546267779, 'impliedVolatility': 1.5000025, 'inTheMoney': False}"
65.0,2019-02-15,put,SPY190215P00065000,0.01,0.0,0.01,0.0,0.0,0.0,1.0,4.000005,SPY,False,SPY,273.8,2019-02-12 16:46:19,2018-12-31 20:38:26,"{'contractSymbol': 'SPY190215P00065000', 'strike': 65.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 1, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1546288706, 'impliedVolatility': 4.000005, 'inTheMoney': False}"
70.0,2019-02-15,call,SPY190215C00070000,200.96,203.84,203.96,0.0,0.0,1.0,234.0,4.992191259765624,SPY,False,SPY,273.8,2019-02-12 16:46:19,2019-02-11 15:06:16,"{'contractSymbol': 'SPY190215C00070000', 'strike': 70.0, 'currency': 'USD', 'lastPrice': 200.96, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 234, 'bid': 203.84, 'ask': 203.96, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1549897576, 'impliedVolatility': 4.992191259765624, 'inTheMoney': True}"
70.0,2019-03-15,put,SPY190315P00070000,0.01,0.0,0.01,0.0,0.0,0.0,7978.0,1.3750031249999999,SPY,False,SPY,273.8,2019-02-12 16:46:19,2019-01-02 17:50:11,"{'contractSymbol': 'SPY190315P00070000', 'strike': 70.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 7978, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1546451411, 'impliedVolatility': 1.3750031249999999, 'inTheMoney': False}"
75.0,2019-02-15,put,SPY190215P00075000,0.01,0.0,0.01,0.0,0.0,0.0,10.0,3.6250009375000003,SPY,False,SPY,273.8,2019-02-12 16:46:19,2018-12-31 18:06:43,"{'contractSymbol': 'SPY190215P00075000', 'strike': 75.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 10, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1546279603, 'impliedVolatility': 3.6250009375000003, 'inTheMoney': False}"
